id;asignatura;tipo;pregunta;opciones;respuesta_correcta;extra
I1000;Ingles;guess;You eat lunch here;restaurant|forest|mountain;restaurant;
I1001;Ingles;guess;You drink coffee here;cafe|cinema|forest;cafe;
I1002;Ingles;test;Which word has ee?;see|bread|head;see;
I1003;Ingles;test;Which word has ea?;read|green|tree;read;
I1004;Ingles;clasificar;Classify the words;;ee:see,green|ea:read,seat;
I1005;Ingles;test;Afraid means;asustado|feliz|alto;asustado;
I1006;Ingles;test;Sad means;triste|rapido|grande;triste;
I1007;Ingles;verdadero_falso;Sad is a feeling;Verdadero|Falso;VERDADERO;
I1008;Ingles;test;Choose activity;read a comic|read a car|read a tree;read a comic;
I1009;Ingles;test;Choose activity;climb a tree|climb a book|climb a desk;climb a tree;
I1010;Ingles;test;Choose activity;do a puzzle|do a dog|do a wall;do a puzzle;
I1011;Ingles;test;Choose activity;play a board game|play a chair|play a bag;play a board game;
I1012;Ingles;test;Choose activity;walk the dog|walk the pen|walk the book;walk the dog;
I1013;Ingles;ordenar;Order the sentence;She|walks|the|dog;She|walks|the|dog;
I1014;Ingles;completar;He ___ plays on Sunday;doesn´t|don´t;doesn´t;
I1015;Ingles;completar;She ___ runs fast;does|do;does;
I1016;Ingles;test;On Saturday I go to;the pool|school|English;the pool;
I1017;Ingles;test;On Monday I have;English|cinema|park;English;
I1018;Ingles;verdadero_falso;Saturday is weekend;Verdadero|Falso;VERDADERO;
I1019;Ingles;test;What day is after Wednesday?;Thursday|Monday|Sunday;Thursday;
I1020;Ingles;test;What day is before Tuesday?;Monday|Friday|Sunday;Monday;
I1021;Ingles;test;What are those?;dogs|run|play;dogs;
I1022;Ingles;verdadero_falso;Those is plural;Verdadero|Falso;VERDADERO;
I1023;Ingles;test;What are they from?;UK|eat|run;UK;
I1024;Ingles;test;What are there?;Two cafes|Run fast|Play games;Two cafes;
I1025;Ingles;arrastrar;Drag places;cinema|forest|cafe;cinema|forest|cafe;
I1026;Ingles;escribir;Write the address number;;17;
I1027;Ingles;escribir;Write the street;;Green Street;
I1028;Ingles;escribir;Write the city;;London;
I1029;Ingles;escribir;Write the country;;UK;
I1030;Ingles;test;Choose correct address;17 Green Street|Green 17 Street|Street Green 17;17 Green Street;
I1031;Ingles;verdadero_falso;An address has city and country;Verdadero|Falso;VERDADERO;
I1032;Ingles;pronunciar;forest;;forest;
I1033;Ingles;pronunciar;river;;river;
I1034;Ingles;pronunciar;cinema;;cinema;
I1035;Ingles;hablar;Do you like comics?;;Do you like comics?;
I1036;Ingles;hablar;Do you play games?;;Do you play games?;
I1037;Ingles;listening;does;does|doesn´t;doesn´t;
I1038;Ingles;listening;run;run|runs;runs;
I1039;Ingles;guess;He doesn´t play football;play|doesn´t play;doesn´t play;
I1040;Ingles;guess;She runs fast;run|runs;runs;
I1041;Ingles;test;He ___ read comics;doesn´t|don´t;doesn´t;
I1042;Ingles;test;I ___ like puzzles;don´t|doesn´t;don´t;
I1043;Ingles;verdadero_falso;I don´t play is correct;Verdadero|Falso;VERDADERO;
I1044;Ingles;test;Where do you swim?;pool|cinema|forest;pool;
I1045;Ingles;ordenar;Order the sentence;There|is|a|pool;There|is|a|pool;
I1046;Ingles;ordenar;Order the sentence;There|are|three|cafes;There|are|three|cafes;
I1047;Ingles;completar;There ___ a tower;is|are;is;
I1048;Ingles;completar;There ___ two towers;is|are;are;
I1049;Ingles;test;Choose ee word;green|bread|head;green;
I1050;Ingles;test;Choose ea word;seat|see|tree;seat;
I1051;Ingles;listening;afraid;happy|sad|afraid;afraid;
I1052;Ingles;guess;She is happy;happy|sad;happy;
I1053;Ingles;test;Choose feeling;happy|run|eat;happy;
I1054;Ingles;test;Choose activity;go to the playground|go to the bag|go to the pen;go to the playground;
I1055;Ingles;ordenar;Order the sentence;He|doesn´t|like|comics;He|doesn´t|like|comics;
I1056;Ingles;verdadero_falso;Playground is for playing;Verdadero|Falso;VERDADERO;
I1057;Ingles;test;Does he read comics?;Yes|No;No;
I1058;Ingles;test;Does she go to the cinema?;Yes|No;Yes;
I1059;Ingles;listening;Monday;Saturday|Monday|Tuesday;Monday;
I1060;Ingles;test;Monday is a;weekday|weekend|month;weekday;
I1061;Ingles;test;Sunday is a;weekend|weekday|holiday;weekend;
I1062;Ingles;verdadero_falso;Sunday is school day;Verdadero|Falso;FALSO;
I1063;Ingles;test;Choose plural question;What are those?|What is that?|What are this?;What are those?;
I1064;Ingles;test;Those ___ cats;are|is;are;
I1065;Ingles;test;There ___ cats;are|is;are;
I1066;Ingles;listening;cinema;cafe|cinema|forest;cinema;
I1067;Ingles;guess;You see films here;cinema|cafe|forest;cinema;
I1068;Ingles;pronunciar;restaurant;;restaurant;
I1069;Ingles;hablar;Do you go to the pool?;;Do you go to the pool?;
I1070;Ingles;escribir;Write the city;;London;
I1071;Ingles;verdadero_falso;London is in the UK;Verdadero|Falso;VERDADERO;
I1072;Ingles;test;Choose correct address;17 Green Street, London, UK|London Green 17|UK Street 17;17 Green Street, London, UK;
I1073;Ingles;test;Choose sentence;He doesn´t read comics|He don´t read comics|He no read comics;He doesn´t read comics;
I1074;Ingles;test;Choose sentence;She plays board games|She play board games|She playing board games;She plays board games;
I1075;Ingles;verdadero_falso;Does is used in questions;Verdadero|Falso;VERDADERO;
I1076;Ingles;test;Does he swim?;Yes|No;No;
I1077;Ingles;test;Does she run?;Yes|No;Yes;
I1078;Ingles;ordenar;Order the sentence;She|doesn´t|run;She|doesn´t|run;
I1079;Ingles;ordenar;Order the sentence;He|plays|tennis;He|plays|tennis;
I1080;Ingles;test;Choose feeling;afraid|sad|happy;afraid;
I1081;Ingles;verdadero_falso;Afraid is a feeling;Verdadero|Falso;VERDADERO;
I1082;Ingles;test;What place has water?;river|cinema|cafe;river;
I1083;Ingles;guess;You see nature here;forest|cinema|cafe;forest;
I1084;Ingles;listening;forest;forest|river|cinema;forest;
I1085;Ingles;test;Choose place;mountain|pencil|apple;mountain;
I1086;Ingles;pronunciar;mountain;;mountain;
I1087;Ingles;hablar;Do you like the playground?;;Do you like the playground?;
I1088;Ingles;escribir;Write the country;;UK;
I1089;Ingles;verdadero_falso;UK is in Europe;Verdadero|Falso;VERDADERO;
I1090;Ingles;test;There ___ a river;is|are;is;
I1091;Ingles;test;There ___ two rivers;is|are;are;
I1092;Ingles;listening;pool;river|pool|forest;pool;
I1093;Ingles;guess;You swim here;pool|cinema|forest;pool;
I1094;Ingles;test;Choose activity;walk the dog|walk the chair|walk the wall;walk the dog;
I1095;Ingles;verdadero_falso;Walk the dog is an activity;Verdadero|Falso;VERDADERO;
I1096;Ingles;test;Does he like comics?;Yes|No;Yes;
I1097;Ingles;test;Does she play games?;Yes|No;Yes;
I1098;Ingles;ordenar;Order the sentence;I|don´t|like|comics;I|don´t|like|comics;
I1099;Ingles;ordenar;Order the sentence;She|plays|games;She|plays|games;
I1100;Ingles;verdadero_falso;Happy is a feeling;Verdadero|Falso;VERDADERO;
I501;Ingles;test;What can you see?;mountain|dog|pencil;mountain;
I502;Ingles;test;What place has many trees?;forest|cinema|cafe;forest;
I503;Ingles;cual_no_encaja;Which is NOT a place?;river|cinema|apple;apple;
I504;Ingles;test;Where do you watch films?;cinema|forest|river;cinema;
I505;Ingles;test;Where do you eat lunch?;restaurant|mountain|river;restaurant;
I506;Ingles;test;Where do you drink coffee?;cafe|sports centre|forest;cafe;
I507;Ingles;verdadero_falso;A swimming pool is for swimming;Verdadero|Falso;VERDADERO;
I508;Ingles;verdadero_falso;You eat lunch in a cinema;Verdadero|Falso;FALSO;
I509;Ingles;ordenar;Order the sentence;There|is|a|tower;There|is|a|tower;
I510;Ingles;completar;There ___ a river;is|are;is;
I511;Ingles;completar;There ___ two cinemas;is|are;are;
I512;Ingles;test;Benny ___ play football;does|doesn´t;does;
I513;Ingles;test;Benny ___ play tennis;does|doesn´t;doesn´t;
I514;Ingles;test;He ___ plays football;do|does;does;
I515;Ingles;verdadero_falso;He plays = affirmative;Verdadero|Falso;VERDADERO;
I516;Ingles;completar;She ___ run;doesn´t|don´t;doesn´t;
I517;Ingles;test;Alicia ___ runs;doesn´t|does;does;
I518;Ingles;ordenar;Order the sentence;She|doesn´t|run;She|doesn´t|run;
I519;Ingles;test;Choose the correct form;play|plays;plays;He
I520;Ingles;test;Choose the correct form;play|plays;play;I
I521;Ingles;test;Does he play football?;Yes|No;Yes;
I522;Ingles;test;Does she run?;Yes|No;Yes;
I523;Ingles;test;Does he swim?;Yes|No;No;
I524;Ingles;verdadero_falso;Does questions use does;Verdadero|Falso;VERDADERO;
I527;Ingles;guess;He swims in the;river|pool|cinema;pool;
I528;Ingles;guess;You eat here;restaurant|forest|mountain;restaurant;
I529;Ingles;test;Green has the sound;ee|ea;ee;
I530;Ingles;test;Read has the sound;ee|ea;ea;
I531;Ingles;test;Which word has ee?;see|bread|head;see;
I532;Ingles;test;Which word has ea?;read|green|seat;read;
I533;Ingles;clasificar;Classify the words;;ee:green,see|ea:read,seat;
I534;Ingles;test;How do you feel scared?;afraid|happy|hungry;afraid;
I535;Ingles;test;Sad means;triste|feliz|rapido;triste;
I536;Ingles;verdadero_falso;Afraid means asustado;Verdadero|Falso;VERDADERO;
I537;Ingles;test;Choose the activity;read a comic|eat a car|drink a tree;read a comic;
I538;Ingles;test;Choose the activity;climb a tree|read a dog|play a street;climb a tree;
I539;Ingles;test;Choose the activity;do a puzzle|eat a puzzle|run a puzzle;do a puzzle;
I540;Ingles;test;Choose the activity;play a board game|play a house|play a street;play a board game;
I541;Ingles;test;Choose the activity;walk the dog|walk the book|walk the house;walk the dog;
I542;Ingles;test;Choose the activity;go to the playground|go to the shoe|go to the tree;go to the playground;
I543;Ingles;completar;He ___ plays on Monday;doesn´t|don´t;doesn´t;
I544;Ingles;completar;She ___ reads comics;does|do;does;
I545;Ingles;ordenar;Order the sentence;He|doesn´t|play|football;He|doesn´t|play|football;
I546;Ingles;ordenar;Order the sentence;I|don´t|like|comics;I|don´t|like|comics;
I547;Ingles;ordenar;Order the sentence;She|walks|the|dog;She|walks|the|dog;
